#,Family,English Name,Scientific Name,First Observed,Elevation,Total Obs.
1,Hesperiidae,Mallow Skipper,Carcharodus alceae,22 Jun 2020,2116m,3
2,Hesperiidae,Chitral Inky Skipper,Erynnis pathan,19 Jul 2020,2197m,2
3,Lycaenidae,Green Hairstreak,Callophrys rubi,23 Apr 2021,2517m,1
4,Lycaenidae,Walnut Blue,Chaetoprocta odata,04 Jul 2020,2111m,1
5,Lycaenidae,Hedge Blue,Holarctic azures,12 Jun 2020,2110m,1
6,Lycaenidae,Small Copper,Lycaena phlaeas,30 Jul 2020,2115m,3
7,Lycaenidae,Loew's Blue,Plebejidea loewii,12 Jun 2021,2571m,1
8,Lycaenidae,Common Blue,Polyommatus icarus,22 Jun 2020,2117m,3
9,Lycaenidae,White-line Hairstreak,Satyrium deria,12 Jun 2020,2110m,2
10,Nymphalidae,Indian Tortoiseshell,Aglais cashmirensis,03 Apr 2021,2114m,1
11,Nymphalidae,Enervated Rockbrown,Chazara enervata,12 Jun 2021,2151m,1
12,Nymphalidae,White-ringed Meadowbrown,Hyponephele davendra,12 Jun 2021,2346m,1
13,Nymphalidae,Kanetisa Digna,Kanetisa digna,12 Jun 2020,2217m,1
14,Nymphalidae,Dark Wall,Lasiommata menava,04 Jun 2020,2231m,3
15,Nymphalidae,Chitral White Admiral,Limenitis lepechini,20 Jun 2021,2113m,1
16,Nymphalidae,Robert Fritillary,Melitaea robertsi,26 Apr 2021,2362m,1
17,Nymphalidae,Chitrali Satyr,Satyrus pimpla,20 Jul 2020,2296m,1
18,Nymphalidae,Painted Lady,Vanessa cardui,12 Jun 2020,2134m,1
19,Papilionidae,Old World Swallowtail,Papilio machaon,29 Apr 2021,2365m,1
20,Pieridae,Pioneer White,Belenois aurota,09 Sep 2020,2107m,1
21,Pieridae,Eastern Pale Clouded Yellow,Colias erate,19 Jul 2020,2266m,3
22,Pieridae,Large White,Pieris brassicae,12 Jun 2020,2110m,2
23,Pieridae,Small White,Pieris rapae,20 Jul 2020,2263m,2
