ScientificName,EnglishName,Family,Min_elevation,Max_elevation,Mean_elevation,Elevation_range,Observations
Plebejidea loewii,Loew's Blue,Lycaenidae,2571.04,2571.04,2571.04,0,1
Callophrys rubi,Green Hairstreak,Lycaenidae,2517.42,2517.42,2517.42,0,1
Papilio machaon,Old World Swallowtail,Papilionidae,2365.09,2365.09,2365.09,0,1
Melitaea robertsi,Robert Fritillary,Nymphalidae,2362.29,2362.29,2362.29,0,1
Hyponephele davendra,White-ringed Meadowbrown,Nymphalidae,2345.59,2345.59,2345.59,0,1
Satyrus pimpla,Chitrali Satyr,Nymphalidae,2295.53,2295.53,2295.53,0,1
Erynnis pathan,Chitral Inky Skipper,Hesperiidae,2197.23,2359.6,2278.415,162.3699999999999,2
Colias erate,Eastern Pale Clouded Yellow,Pieridae,2105.25,2363.51,2244.78,258.2600000000002,3
Lasiommata menava,Dark Wall,Nymphalidae,2113.67,2366.64,2237.02,252.9699999999998,3
Kanetisa digna,Kanetisa Digna,Nymphalidae,2217.48,2217.48,2217.48,0,1
Pieris rapae,Small White,Pieridae,2124.59,2263.47,2194.0299999999997,138.87999999999965,2
Chazara enervata,Enervated Rockbrown,Nymphalidae,2151.18,2151.18,2151.18,0,1
Vanessa cardui,Painted Lady,Nymphalidae,2134.07,2134.07,2134.07,0,1
Carcharodus alceae,Mallow Skipper,Hesperiidae,2114.85,2118.78,2116.4833333333336,3.930000000000291,3
Aglais cashmirensis,Indian Tortoiseshell,Nymphalidae,2113.75,2113.75,2113.75,0,1
Polyommatus icarus,Common Blue,Lycaenidae,2105.38,2119.15,2113.7366666666667,13.769999999999982,3
Pieris brassicae,Large White,Pieridae,2109.88,2117.5,2113.69,7.619999999999891,2
Satyrium deria,White-line Hairstreak,Lycaenidae,2109.92,2117.33,2113.625,7.4099999999998545,2
Limenitis lepechini,Chitral White Admiral,Nymphalidae,2113.36,2113.36,2113.36,0,1
Lycaena phlaeas,Small Copper,Lycaenidae,2108.49,2115.18,2112.92,6.690000000000055,3
Chaetoprocta odata,Walnut Blue,Lycaenidae,2110.66,2110.66,2110.66,0,1
Holarctic azures,Hedge Blue,Lycaenidae,2110.03,2110.03,2110.03,0,1
Belenois aurota,Pioneer White,Pieridae,2106.54,2106.54,2106.54,0,1
