Location_key,Latitude,Longitude,Species_count,Observation_count
36.2667_72.2564,36.266667,72.256389,5,7
36.2661_72.2561,36.266111,72.256111,3,3
36.2603_72.2533,36.260278,72.253333,2,2
36.2606_72.2536,36.260556,72.253611,2,2
36.2664_72.2569,36.266389,72.256944,2,2
36.2692_72.2578,36.269167,72.257778,2,2
36.2567_72.2486,36.256667,72.248611,1,1
36.2575_72.25,36.2575,72.25,1,1
36.2608_72.2542,36.260833,72.254167,1,1
36.2611_72.2542,36.261111,72.254167,1,1
36.2622_72.2556,36.262222,72.255556,1,1
36.2625_72.2464,36.2625,72.246389,1,1
36.2631_72.2567,36.263056,72.256667,1,1
36.2631_72.2569,36.263056,72.256944,1,1
36.2639_72.2564,36.263889,72.256389,1,1
36.2639_72.2569,36.263889,72.256944,1,1
36.2642_72.2561,36.264167,72.256111,1,1
36.2647_72.2558,36.264722,72.255833,1,1
36.2653_72.2575,36.265278,72.2575,1,1
36.2658_72.2581,36.265833,72.258056,1,1
36.2664_72.2558,36.266389,72.255833,1,1
36.2664_72.2561,36.266389,72.256111,1,1
36.2664_72.2564,36.266389,72.256389,1,1
36.2667_72.2561,36.266667,72.256111,1,1
36.2692_72.2581,36.269167,72.258056,1,1
