Species_ID,EnglishName,Rename to
1,Mallow Skipper,species_01.jpg
2,Chitral Inky Skipper,species_02.jpg
3,Green Hairstreak,species_03.jpg
4,Walnut Blue,species_04.jpg
5,Hedge Blue,species_05.jpg
6,Small Copper,species_06.jpg
7,Loew's Blue,species_07.jpg
8,Common Blue,species_08.jpg
9,White-line Hairstreak,species_09.jpg
10,Indian Tortoiseshell,species_10.jpg
11,Enervated Rockbrown,species_11.jpg
12,White-ringed Meadowbrown,species_12.jpg
13,Kanetisa Digna,species_13.jpg
14,Dark Wall,species_14.jpg
15,Chitral White Admiral,species_15.jpg
16,Robert Fritillary,species_16.jpg
17,Chitrali Satyr,species_17.jpg
18,Painted Lady,species_18.jpg
19,Old World Swallowtail,species_19.jpg
20,Pioneer White,species_20.jpg
21,Eastern Pale Clouded Yellow,species_21.jpg
22,Large White,species_22.jpg
23,Small White,species_23.jpg
