EnglishName,ScientificName,First_month,Last_month,Active_months
Indian Tortoiseshell,Aglais cashmirensis,April,April,1
Green Hairstreak,Callophrys rubi,April,April,1
Robert Fritillary,Melitaea robertsi,April,April,1
Old World Swallowtail,Papilio machaon,April,April,1
Walnut Blue,Chaetoprocta odata,July,July,1
Eastern Pale Clouded Yellow,Colias erate,July,August,3
Chitral Inky Skipper,Erynnis pathan,July,April,2
Small Copper,Lycaena phlaeas,July,October,3
Small White,Pieris rapae,July,August,2
Chitrali Satyr,Satyrus pimpla,July,July,1
Mallow Skipper,Carcharodus alceae,June,April,3
Enervated Rockbrown,Chazara enervata,June,June,1
Hedge Blue,Holarctic azures,June,June,1
White-ringed Meadowbrown,Hyponephele davendra,June,June,1
Kanetisa Digna,Kanetisa digna,June,June,1
Dark Wall,Lasiommata menava,June,May,3
Chitral White Admiral,Limenitis lepechini,June,June,1
Large White,Pieris brassicae,June,July,2
Loew's Blue,Plebejidea loewii,June,June,1
Common Blue,Polyommatus icarus,June,August,3
White-line Hairstreak,Satyrium deria,June,July,2
Painted Lady,Vanessa cardui,June,June,1
Pioneer White,Belenois aurota,September,September,1
