Family,ScientificName,EnglishName,Observations,First_seen,Last_seen,Min_elevation,Max_elevation
Hesperiidae,Carcharodus alceae,Mallow Skipper,3,2020-06-22,2021-04-17,2114.85,2118.78
Hesperiidae,Erynnis pathan,Chitral Inky Skipper,2,2020-07-19,2021-04-26,2197.23,2359.6
Lycaenidae,Callophrys rubi,Green Hairstreak,1,2021-04-23,2021-04-23,2517.42,2517.42
Lycaenidae,Chaetoprocta odata,Walnut Blue,1,2020-07-04,2020-07-04,2110.66,2110.66
Lycaenidae,Holarctic azures,Hedge Blue,1,2020-06-12,2020-06-12,2110.03,2110.03
Lycaenidae,Lycaena phlaeas,Small Copper,3,2020-07-30,2021-10-09,2108.49,2115.18
Lycaenidae,Plebejidea loewii,Loew's Blue,1,2021-06-12,2021-06-12,2571.04,2571.04
Lycaenidae,Polyommatus icarus,Common Blue,3,2020-06-22,2021-08-26,2105.38,2119.15
Lycaenidae,Satyrium deria,White-line Hairstreak,2,2020-06-12,2020-07-04,2109.92,2117.33
Nymphalidae,Aglais cashmirensis,Indian Tortoiseshell,1,2021-04-03,2021-04-03,2113.75,2113.75
Nymphalidae,Chazara enervata,Enervated Rockbrown,1,2021-06-12,2021-06-12,2151.18,2151.18
Nymphalidae,Hyponephele davendra,White-ringed Meadowbrown,1,2021-06-12,2021-06-12,2345.59,2345.59
Nymphalidae,Kanetisa digna,Kanetisa Digna,1,2020-06-12,2020-06-12,2217.48,2217.48
Nymphalidae,Lasiommata menava,Dark Wall,3,2020-06-04,2021-05-04,2113.67,2366.64
Nymphalidae,Limenitis lepechini,Chitral White Admiral,1,2021-06-20,2021-06-20,2113.36,2113.36
Nymphalidae,Melitaea robertsi,Robert Fritillary,1,2021-04-26,2021-04-26,2362.29,2362.29
Nymphalidae,Satyrus pimpla,Chitrali Satyr,1,2020-07-20,2020-07-20,2295.53,2295.53
Nymphalidae,Vanessa cardui,Painted Lady,1,2020-06-12,2020-06-12,2134.07,2134.07
Papilionidae,Papilio machaon,Old World Swallowtail,1,2021-04-29,2021-04-29,2365.09,2365.09
Pieridae,Belenois aurota,Pioneer White,1,2020-09-09,2020-09-09,2106.54,2106.54
Pieridae,Colias erate,Eastern Pale Clouded Yellow,3,2020-07-19,2021-08-26,2105.25,2363.51
Pieridae,Pieris brassicae,Large White,2,2020-06-12,2020-07-05,2109.88,2117.5
Pieridae,Pieris rapae,Small White,2,2020-07-20,2021-08-02,2124.59,2263.47
